gc_mode,finish_threshold,total_pages_to_write,finish_call_count,latency_micros_per_op,throughput_MB_per_s,timestamp
false,0,0,0,26.130,38.0,2026-04-17 10:13:56
false,10,90119,4,26.897,36.9,2026-04-17 10:14:55
false,20,77336,3,25.692,38.6,2026-04-17 10:15:51
false,25,342510,4,26.673,37.2,2026-04-17 10:16:49
false,30,1005288,8,25.951,38.2,2026-04-17 10:17:46
false,40,669755,8,24.891,39.8,2026-04-17 10:18:41
false,50,1608380,9,25.537,38.8,2026-04-17 10:19:38
false,55,5660615,25,37.364,26.5,2026-04-17 10:20:59
false,60,7468278,30,44.251,22.4,2026-04-17 10:22:33
false,70,6198796,25,38.343,25.9,2026-04-17 10:23:55
false,75,11804493,39,45.209,21.9,2026-04-17 10:25:30
false,80,17800364,54,59.053,16.8,2026-04-17 10:27:34
false,85,18194269,55,61.193,16.2,2026-04-17 10:29:42
false,90,18622155,56,60.302,16.4,2026-04-17 10:31:50
true,0,0,0,23.948,41.4,2026-04-17 10:32:44
true,10,32786,2,26.174,37.9,2026-04-17 10:33:49
true,20,110814,4,26.590,37.3,2026-04-17 10:34:53
true,25,263542,6,25.926,38.3,2026-04-17 10:35:57
true,30,569893,5,26.033,38.1,2026-04-17 10:37:01
true,40,1149296,10,28.280,35.1,2026-04-17 10:38:06
true,50,1406737,9,25.245,39.3,2026-04-17 10:39:10
true,55,5206705,22,36.038,27.5,2026-04-17 10:40:34
true,60,3986484,17,30.242,32.8,2026-04-17 10:41:48
true,70,5558508,25,39.292,25.2,2026-04-17 10:43:22
true,75,12590074,41,47.283,21.0,2026-04-17 10:45:07
true,80,19109086,57,63.974,15.5,2026-04-17 10:47:21
true,85,18718482,56,62.447,15.9,2026-04-17 10:49:35
true,90,18920602,56,62.273,15.9,2026-04-17 10:51:49
