gc_mode,finish_threshold,total_pages_to_write,finish_call_count,latency_micros_per_op,throughput_MB_per_s,timestamp
false,0,0,0,28.134,35.3,2026-04-17 11:06:07
false,10,86037,6,27.318,36.3,2026-04-17 11:07:34
false,20,179127,6,27.978,35.5,2026-04-17 11:09:03
false,25,589254,9,29.985,33.1,2026-04-17 11:10:38
false,30,2178380,17,30.965,32.0,2026-04-17 11:12:17
false,40,2029690,19,29.836,33.2,2026-04-17 11:13:52
false,50,5151533,30,35.787,27.7,2026-04-17 11:15:45
false,55,10367595,46,42.724,23.2,2026-04-17 11:18:00
false,60,10326439,45,42.584,23.3,2026-04-17 11:20:14
false,70,10684670,42,43.492,22.8,2026-04-17 11:22:31
false,75,24857018,80,60.867,16.3,2026-04-17 11:25:41
false,80,28751825,87,66.101,15.0,2026-04-17 11:29:08
false,85,31003513,90,68.804,14.4,2026-04-17 11:32:41
false,90,30680232,90,67.849,14.6,2026-04-17 11:36:12
true,0,0,0,28.465,34.8,2026-04-17 11:37:46
true,10,25108,4,27.454,36.1,2026-04-17 11:39:23
true,20,74151,5,27.913,35.5,2026-04-17 11:40:57
true,25,599125,11,27.400,36.2,2026-04-17 11:42:32
true,30,1911121,17,30.657,32.4,2026-04-17 11:44:17
true,40,2430148,19,31.945,31.0,2026-04-17 11:46:04
true,50,4331895,24,33.113,30.0,2026-04-17 11:47:59
true,55,11552418,49,44.658,22.2,2026-04-17 11:50:23
true,60,12080699,51,47.436,20.9,2026-04-17 11:52:58
true,70,11944574,46,46.217,21.5,2026-04-17 11:55:23
true,75,22984283,74,60.356,16.4,2026-04-17 11:58:39
true,80,30550693,90,68.729,14.4,2026-04-17 12:02:24
true,85,30764441,88,67.955,14.6,2026-04-17 12:05:59
true,90,30230340,87,66.870,14.8,2026-04-17 12:09:34
